Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission,city
2020 Used Toyota Innova Crysta in Palghar,Innova Crysta [2020-2023],2020,2000000,Toyota,170000,Diesel,MPV_MUV,8,First Owner ,Manual,palghar
2021 Used Maruti Suzuki XL6 in Mumbai,XL6 [2019-2022],2021,950000,Maruti Suzuki,45047,Petrol,MPV_MUV,6,First Owner,Manual,palghar
2017 Used Hyundai Creta in Mumbai,Creta [2015-2017],2017,850000,Hyundai,50226,Petrol,SUV,5,First Owner,Automatic,palghar
2022 Used Volkswagen Taigun in Mumbai,Taigun [2021-2023],2022,990000,Volkswagen,21188,Petrol,SUV,5,First Owner,Manual,palghar
2018 Used Maruti Suzuki Baleno in Mumbai,Baleno [2015-2019],2018,625000,Maruti Suzuki,37785,Petrol,Hatchback,5,First Owner,Manual,palghar
2018 Used Maruti Suzuki Baleno in Mumbai,Baleno [2015-2019],2018,595000,Maruti Suzuki,37467,Petrol,Hatchback,5,First Owner,Manual,palghar
2023 Used Hyundai Verna in Thane,Verna,2023,1435000,Hyundai,30767,Petrol,Sedan,5,First Owner ,Automatic (DCT),palghar
2023 Used Toyota Urban Cruiser Hyryder in Thane,Urban Cruiser Hyryder,2023,1851000,Toyota,20069,Hybrid,SUV,5,First Owner ,Automatic (CVT),palghar
2018 Used Maruti Suzuki Ertiga in Thane,Ertiga [2015-2018],2018,799000,Maruti Suzuki,39848,CNG,SUV,7,First Owner ,Manual,palghar
2021 Used Maruti Suzuki Baleno in Thane,Baleno [2019-2022],2021,695000,Maruti Suzuki,19302,Petrol,Hatchback,5,First Owner,Manual,palghar
2023 Used Mahindra Scorpio in Thane,Scorpio,2023,1711000,Mahindra,35643,Diesel,SUV,7,First Owner,Manual,palghar
2024 Used Maruti Suzuki Ertiga in Thane,Ertiga,2024,1085000,Maruti Suzuki,7182,Petrol,MPV_MUV,7,First Owner,Manual,palghar
2018 Used Hyundai Elite i20 in Thane,Elite i20 [2019-2020],2018,635000,Hyundai,39230,Petrol,Hatchback,5,First Owner,Automatic (CVT),palghar
2014 Used Maruti Suzuki Ciaz in Mumbai,Ciaz [2014-2017],2014,450000,Maruti Suzuki,47678,Petrol,Sedan,5,First Owner,Manual,palghar
2022 Used Volkswagen Taigun in Mumbai,Taigun [2021-2023],2022,1575000,Volkswagen,33633,Petrol,SUV,5,First Owner,Automatic (DCT),palghar
2023 Used Tata Safari in Thane,Safari [2021-2023],2023,1845000,Tata,34544,Diesel,SUV,7,First Owner,Automatic (TC),palghar
2019 Used Maruti Suzuki Baleno in Thane,Baleno [2015-2019],2019,599000,Maruti Suzuki,51984,Petrol,Hatchback,5,First Owner ,Manual,palghar
2023 Used Maruti Suzuki Swift in Thane,Swift [2021-2024],2023,730000,Maruti Suzuki,58789,CNG,Hatchback,5,First Owner,Manual,palghar
2021 Used Hyundai Aura in Thane,Aura [2020-2023],2021,635000,Hyundai,46115,Petrol,CompactSedan,5,First Owner,Automatic (AMT),palghar
2016 Used Volkswagen Polo in Mumbai,Polo [2016-2019],2016,605000,Volkswagen,68892,Petrol,Hatchback,5,First Owner,Automatic,palghar
2015 Used Volkswagen Polo in Mumbai,Polo [2014-2015],2015,450000,Volkswagen,20580,Petrol,Hatchback,5,First Owner,Manual,palghar
2015 Used Volkswagen Polo in Mumbai,Polo [2014-2015],2015,425000,Volkswagen,40980,Petrol,Hatchback,5,First Owner,Manual,palghar
2017 Used Maruti Suzuki DZire in Mumbai,Dzire [2017-2020],2017,625000,Maruti Suzuki,61152,Petrol,CompactSedan,5,First Owner,Automatic (AMT),palghar
2018 Used Maruti Suzuki Celerio X in Mumbai,Celerio X,2018,495000,Maruti Suzuki,39981,Petrol,Hatchback,5,First Owner,Manual,palghar
2018 Used BMW 3 Series GT in Aligarh,3 Series GT [2016-2021],2018,2000000,BMW,43000,Diesel,Sedan,5,First Owner ,Automatic,aligarh
2023 Used Toyota Innova Hyrcross in Delhi,Innova Hycross,2023,3075000,Toyota,55440,Hybrid,MPV_MUV,7,First Owner ,Automatic (e-CVT),aligarh
2023 Used Toyota Glanza in Delhi,Glanza,2023,865000,Toyota,30100,Petrol,Hatchback,5,First Owner ,Automatic (AMT),aligarh
2022 Used Toyota Urban Cruiser Hyryder in Delhi,Urban Cruiser Hyryder,2022,1790000,Toyota,40475,Petrol,SUV,5,First Owner ,Automatic (TC),aligarh
2021 Used Toyota Urban Cruiser in Delhi,Urban Cruiser,2021,870000,Toyota,38040,Petrol,CompactSuv,5,First Owner ,Manual,aligarh
2021 Used Toyota Urban Cruiser in Delhi,Urban Cruiser,2021,950000,Toyota,25071,Petrol,CompactSuv,5,First Owner ,Automatic (TC),aligarh
2024 Used Toyota Glanza in Delhi,Glanza,2024,875000,Toyota,21025,Petrol,Hatchback,5,First Owner,Automatic (AMT),aligarh
2024 Used Lexus ES in Delhi,ES,2024,5800000,Lexus,6670,Hybrid,Sedan,5,First Owner ,Automatic (e-CVT),aligarh
2022 Used Toyota Urban Cruiser in Delhi,Urban Cruiser,2022,810000,Toyota,35427,Petrol,CompactSuv,5,First Owner,Manual,aligarh
2021 Used Toyota Innova Crysta in Delhi,Innova Crysta [2020-2023],2021,1950000,Toyota,93000,Diesel,MPV_MUV,7,Second Owner ,Automatic (TC),aligarh
2021 Used Toyota Innova Crysta in Delhi,Innova Crysta [2020-2023],2021,2025000,Toyota,90846,Diesel,MPV_MUV,7,First Owner ,Automatic (TC),aligarh
2021 Used Toyota Innova Crysta in Delhi,Innova Crysta [2020-2023],2021,2025000,Toyota,90846,Diesel,MPV_MUV,7,First Owner ,Automatic (TC),aligarh
2017 Used Hyundai Grand i10 in Kanpur,Grand i10,2017,375000,Hyundai,78000,Petrol,Hatchback,5,First Owner,Manual,aligarh
2015 Used Mahindra XUV500 in Agra,XUV500 [2011-2015],2015,500000,Mahindra,118000,Diesel,SUV,7,Second Owner,Manual,aligarh
2017 Used Honda City in Agra,City 4th Generation,2017,625000,Honda,74000,Diesel,Sedan,5,First Owner,Manual,aligarh
2018 Used Maruti Suzuki Vitara Brezza in Agra,Vitara Brezza [2016-2020],2018,635000,Maruti Suzuki,63000,Diesel,SUV,5,First Owner,Manual,aligarh
2016 Used BMW X1 in Agra,X1 [2016-2020],2016,1450000,BMW,42800,Diesel,SUV,5,First Owner,Automatic,aligarh
2016 Used Hyundai i10 in Kanpur,i10 [2010-2017],2016,275000,Hyundai,57000,Petrol,Hatchback,5,First Owner,Manual,aligarh
2012 Used Renault Duster in Kanpur,Duster [2012-2015],2012,210000,Renault,87000,Diesel,SUV,5,Third Owner,Manual,aligarh
2021 Used Honda Amaze in Agra,Amaze [2016-2018],2021,600000,Honda,51000,Diesel,CompactSedan,5,First Owner,Manual,aligarh
2020 Used Tata Harrier in Agra,Harrier [2019-2023],2020,1250000,Tata,117000,Diesel,SUV,5,First Owner ,Manual,aligarh
2014 Used Honda Amaze in Agra,Amaze [2013-2016],2014,335000,Honda,102800,Diesel,Sedan,5,Second Owner,Manual,aligarh
2019 Used Honda WR-V in Mathura,WR-V [2017-2020],2019,490000,Honda,63000,Petrol,SUV,5,Second Owner,Manual,aligarh
2016 Used Hyundai Creta in Agra,Creta [2015-2017],2016,635000,Hyundai,77800,Diesel,SUV,5,First Owner,Automatic,aligarh
2021 Used Tata Harrier in Siwan,Harrier [2019-2023],2021,1200000,Tata,84040,Diesel,SUV,5,First Owner ,Manual,siwan
2020 Used Toyota Innova Crysta in Siwan,Innova Crysta [2020-2023],2020,2000000,Toyota,65000,Diesel,MPV_MUV,7,Second Owner ,Automatic (TC),siwan
2022 Used Mahindra Scorpio in Patna,Scorpio,2022,1595000,Mahindra,42279,Diesel,SUV,7,First Owner,Manual,siwan
2020 Used Mahindra Scorpio in Patna,Scorpio 2021,2020,1170000,Mahindra,56000,Diesel,SUV,7,First Owner,Manual,siwan
2019 Used Maruti Suzuki DZire in Motihari,Dzire [2017-2020],2019,625000,Maruti Suzuki,32533,Petrol,CompactSedan,5,First Owner,Manual,siwan
2023 Used Mahindra Scorpio in Patna,Scorpio,2023,1750000,Mahindra,22000,Diesel,SUV,7,First Owner,Manual,siwan
2018 Used Mahindra Scorpio in Patna,Scorpio 2021,2018,1060000,Mahindra,61000,Diesel,SUV,7,First Owner,Manual,siwan
2022 Used Mahindra Scorpio in Patna,Scorpio 2021,2022,1330000,Mahindra,46944,Diesel,SUV,7,First Owner,Manual,siwan
2019 Used Mahindra Scorpio in Patna,Scorpio 2021,2019,1150000,Mahindra,42296,Diesel,SUV,7,First Owner,Manual,siwan
2021 Used Mahindra Scorpio in Patna,Scorpio 2021,2021,1390000,Mahindra,40000,Diesel,SUV,7,First Owner,Manual,siwan
2021 Used Hyundai Venue in Bettiah,Venue [2019-2022],2021,855000,Hyundai,28592,Diesel,CompactSuv,5,First Owner,Manual,siwan
