age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
14.0,3.0,65000.0,1.0,0.0,5.0,0.0,12.0,190000.0
3.0,25.0,90000.0,2.0,5.0,5.0,0.0,5.0,1400000.0
11.0,3.0,80000.0,1.0,0.0,4.0,0.0,6.0,210000.0
9.0,31.0,93200.0,2.0,5.0,5.0,7.0,6.0,2390000.0
5.0,11.0,44105.0,1.0,0.0,5.0,0.0,3.0,483000.0
4.0,19.0,120000.0,2.0,4.0,5.0,0.0,3.0,675000.0
3.0,12.0,17000.0,1.0,4.0,5.0,0.0,3.0,595000.0
5.0,34.0,96000.0,1.0,5.0,5.0,4.0,3.0,7675000.0
13.0,8.0,80000.0,1.0,0.0,5.0,0.0,8.0,100000.0
9.0,11.0,250000.0,2.0,0.0,5.0,0.0,6.0,300000.0
6.0,34.0,36000.0,1.0,2.0,5.0,7.0,3.0,3400000.0
2.0,3.0,35000.0,3.0,4.0,5.0,0.0,3.0,950000.0
5.0,8.0,80000.0,1.0,2.0,5.0,0.0,5.0,600000.0
7.0,13.0,51763.0,1.0,2.0,5.0,0.0,5.0,449000.0
13.0,3.0,213000.0,2.0,0.0,5.0,0.0,9.0,250000.0
7.0,4.0,48000.0,1.0,0.0,5.0,0.0,6.0,280000.0
7.0,3.0,102000.0,1.0,9.0,5.0,0.0,3.0,350000.0
4.0,28.0,8590.0,1.0,2.0,5.0,7.0,3.0,3550000.0
5.0,19.0,79562.0,2.0,5.0,7.0,0.0,3.0,1145000.0
1.0,19.0,5176.0,1.0,3.0,5.0,0.0,3.0,1385000.0
6.0,3.0,210000.0,2.0,1.0,5.0,0.0,6.0,445000.0
1.0,34.0,9989.0,2.0,5.0,5.0,4.0,3.0,9000000.0
6.0,26.0,53100.0,2.0,5.0,7.0,4.0,3.0,6500000.0
13.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,120000.0
12.0,19.0,100000.0,2.0,5.0,7.0,0.0,5.0,300000.0
4.0,3.0,55000.0,1.0,1.0,5.0,2.0,6.0,685000.0
2.0,2.0,30000.0,1.0,0.0,5.0,0.0,5.0,550000.0
9.0,13.0,74161.0,1.0,0.0,5.0,0.0,3.0,325000.0
3.0,16.0,40000.0,1.0,5.0,5.0,0.0,5.0,895000.0
8.0,18.0,123658.0,2.0,5.0,8.0,0.0,3.0,1400000.0
5.0,2.0,120000.0,1.0,8.0,6.0,0.0,5.0,900000.0
5.0,3.0,35600.0,1.0,0.0,5.0,0.0,3.0,540000.0
4.0,8.0,72699.0,2.0,5.0,5.0,0.0,3.0,1375000.0
7.0,2.0,74000.0,2.0,0.0,5.0,0.0,5.0,600000.0
6.0,2.0,4000.0,1.0,0.0,5.0,0.0,5.0,295000.0
19.0,2.0,75000.0,1.0,0.0,5.0,0.0,8.0,60000.0
12.0,8.0,74000.0,1.0,0.0,5.0,0.0,11.0,225000.0
2.0,7.0,32000.0,9.0,4.0,5.0,7.0,3.0,1800000.0
5.0,19.0,42000.0,2.0,5.0,7.0,7.0,3.0,1025000.0
3.0,20.0,20000.0,1.0,5.0,5.0,7.0,8.0,1200000.0
11.0,3.0,76437.0,2.0,2.0,5.0,0.0,3.0,290000.0
1.0,8.0,17000.0,3.0,1.0,5.0,0.0,3.0,850000.0
13.0,18.0,101315.0,2.0,5.0,7.0,0.0,3.0,1065000.0
10.0,2.0,73000.0,1.0,0.0,5.0,0.0,5.0,350000.0
10.0,3.0,81000.0,1.0,0.0,5.0,0.0,3.0,370000.0
9.0,2.0,30000.0,1.0,0.0,5.0,0.0,5.0,200000.0
16.0,8.0,95000.0,1.0,0.0,5.0,0.0,15.0,150000.0
6.0,3.0,113000.0,2.0,5.0,7.0,0.0,9.0,800000.0
12.0,8.0,70000.0,2.0,2.0,5.0,7.0,5.0,550000.0
10.0,19.0,120000.0,2.0,5.0,7.0,0.0,11.0,749000.0
2.0,18.0,73362.0,1.0,5.0,5.0,0.0,3.0,1375000.0
11.0,13.0,154812.0,1.0,2.0,5.0,0.0,3.0,380000.0
4.0,20.0,26000.0,2.0,5.0,6.0,4.0,3.0,3199000.0
