Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission
2020 Used Toyota Innova Crysta in Palghar,Innova Crysta [2020-2023],2020,2000000,Toyota,170000,Diesel,MPV_MUV,8,First Owner ,Manual
2017 Used Hyundai Creta in Mumbai,Creta [2015-2017],2017,850000,Hyundai,50226,Petrol,SUV,5,First Owner,Automatic
2021 Used Maruti Suzuki XL6 in Mumbai,XL6 [2019-2022],2021,950000,Maruti Suzuki,45047,Petrol,MPV_MUV,6,First Owner,Manual
2022 Used Volkswagen Taigun in Mumbai,Taigun [2021-2023],2022,990000,Volkswagen,21188,Petrol,SUV,5,First Owner,Manual
2018 Used Maruti Suzuki Baleno in Mumbai,Baleno [2015-2019],2018,625000,Maruti Suzuki,37785,Petrol,Hatchback,5,First Owner,Manual
2018 Used Maruti Suzuki Baleno in Mumbai,Baleno [2015-2019],2018,595000,Maruti Suzuki,37467,Petrol,Hatchback,5,First Owner,Manual
2023 Used Hyundai Verna in Thane,Verna,2023,1435000,Hyundai,30767,Petrol,Sedan,5,First Owner ,Automatic (DCT)
2023 Used Toyota Urban Cruiser Hyryder in Thane,Urban Cruiser Hyryder,2023,1851000,Toyota,20069,Hybrid,SUV,5,First Owner ,Automatic (CVT)
2018 Used Maruti Suzuki Ertiga in Thane,Ertiga [2015-2018],2018,799000,Maruti Suzuki,39848,CNG,SUV,7,First Owner ,Manual
2021 Used Maruti Suzuki Baleno in Thane,Baleno [2019-2022],2021,695000,Maruti Suzuki,19302,Petrol,Hatchback,5,First Owner,Manual
2023 Used Mahindra Scorpio in Thane,Scorpio,2023,1711000,Mahindra,35643,Diesel,SUV,7,First Owner,Manual
2024 Used Maruti Suzuki Ertiga in Thane,Ertiga,2024,1085000,Maruti Suzuki,7182,Petrol,MPV_MUV,7,First Owner,Manual
2018 Used Hyundai Elite i20 in Thane,Elite i20 [2019-2020],2018,635000,Hyundai,39230,Petrol,Hatchback,5,First Owner,Automatic (CVT)
2022 Used Volkswagen Taigun in Mumbai,Taigun [2021-2023],2022,1575000,Volkswagen,33633,Petrol,SUV,5,First Owner,Automatic (DCT)
2014 Used Maruti Suzuki Ciaz in Mumbai,Ciaz [2014-2017],2014,450000,Maruti Suzuki,47678,Petrol,Sedan,5,First Owner,Manual
2023 Used Tata Safari in Thane,Safari [2021-2023],2023,1845000,Tata,34544,Diesel,SUV,7,First Owner,Automatic (TC)
2019 Used Maruti Suzuki Baleno in Thane,Baleno [2015-2019],2019,599000,Maruti Suzuki,51984,Petrol,Hatchback,5,First Owner ,Manual
