Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission
2018 BMW X1,X1 2015-2020,2018,1840000,BMW,57000,Diesel,SUV,5,Second-Owner,Automatic
2015 Ford Ecosport,EcoSport 2013-2015,2015,400000,Ford,51000,Petrol,SUV,5,Third-Owner,Manual
2024 Tata Safari,Safari,2024,2600000,Tata,30000,Diesel,SUV,7,First-Owner,Manual
2022 Jeep Meridian,Meridian,2022,2700000,Jeep,70000,Diesel,SUV,7,First-Owner,Automatic
2014 Mercedes-Benz GL-Class,GL-Class,2014,2400000,Mercedes-Benz,152000,Diesel,SUV,7,First-Owner,Automatic
2012 Hyundai Verna,Verna 2011-2015,2012,330000,Hyundai,100000,Diesel,Sedan,5,Second-Owner,Manual
2021 Hyundai Grand i10 Nios,Grand i10 Nios 2019-2023,2021,650000,Hyundai,113500,CNG,Hatchback,5,First-Owner,Manual
2011 Hyundai i10,i10,2011,150000,Hyundai,97000,Petrol,Hatchback,5,Second-Owner,Manual
2015 BMW 1 Series,1 Series,2015,1525000,BMW,72000,Diesel,Hatchback,5,Second-Owner,Automatic
2009 Maruti Wagon R,Wagon R 2006-2010,2009,35000,Maruti,48000,Petrol,Hatchback,5,First-Owner,Manual
2021 Tata Altroz,Altroz 2020-2023,2021,750000,Tata,26000,Petrol,Hatchback,5,First-Owner,Manual
2021 Renault Kiger,Kiger 2021-2023,2021,640000,Renault,18300,Petrol,SUV,5,First-Owner,Automatic
2012 Toyota Innova,Innova 2012-2013,2012,695000,Toyota,150000,Diesel,MUV,7,Second-Owner,Manual
2024 Kia Seltos,Seltos,2024,2025000,Kia,21000,Diesel,SUV,5,First-Owner,Automatic
2022 MG Astor,Astor,2022,1250111,MG,19000,Petrol,SUV,5,First-Owner,Automatic
0 Land Rover Range Rover Sport,Range Rover Sport,2024,6500000,Land Rover,18100,Petrol,SUV,5,Unregistered,Automatic
2020 Honda City,City 4th Generation,2020,925000,Honda,24000,Petrol,Sedan,5,First-Owner,Automatic
2024 Audi RS Q8,RS Q8 2020-2025,2024,16500000,Audi,17500,Petrol,SUV,5,First-Owner,Automatic
2023 Hyundai Creta,Creta 2020-2024,2023,1765000,Hyundai,13600,Petrol,SUV,5,First-Owner,Automatic
2023 Kia Seltos,Seltos,2023,1800000,Kia,23000,Diesel,SUV,5,First-Owner,Automatic
2018 Tata Hexa,Hexa 2016-2020,2018,500000,Tata,100000,Diesel,MUV,7,First-Owner,Manual
2023 Renault Kiger,Kiger,2023,700000,Renault,15000,Petrol,SUV,5,First-Owner,Manual
2023 MG Astor,Astor,2023,1150000,MG,20000,Petrol,SUV,5,First-Owner,Manual
2025 Kia Sonet,Sonet,2025,1000000,Kia,13000,Petrol,SUV,5,First-Owner,Manual
2024 Land Rover Defender,Defender,2024,13500000,Land Rover,15000,Petrol,SUV,5,First-Owner,Automatic
2007 Maruti Swift,Swift 2004-2010,2007,90000,Maruti,70000,Petrol,Hatchback,5,Second-Owner,Manual
2021 Maruti Ignis,Ignis,2021,450000,Maruti,20000,Petrol,Hatchback,5,First-Owner,Manual
2017 Mahindra Scorpio,Scorpio 2014-2022,2017,700000,Mahindra,120000,Diesel,SUV,7,Second-Owner,Manual
2022 Audi Q5,Q5,2022,4500000,Audi,34000,Petrol,SUV,5,First-Owner,Automatic
