age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
4.0,19.0,120000.0,2.0,4.0,5.0,0.0,3.0,675000.0,1.0
3.0,12.0,17000.0,1.0,4.0,5.0,0.0,3.0,595000.0,1.0
5.0,8.0,80000.0,1.0,2.0,5.0,0.0,5.0,600000.0,1.0
4.0,3.0,55000.0,1.0,1.0,5.0,2.0,6.0,685000.0,1.0
2.0,2.0,30000.0,1.0,0.0,5.0,0.0,5.0,550000.0,1.0
3.0,16.0,40000.0,1.0,5.0,5.0,0.0,5.0,895000.0,1.0
5.0,2.0,120000.0,1.0,8.0,6.0,0.0,5.0,900000.0,1.0
5.0,3.0,35600.0,1.0,0.0,5.0,0.0,3.0,540000.0,1.0
7.0,2.0,74000.0,2.0,0.0,5.0,0.0,5.0,600000.0,1.0
1.0,8.0,17000.0,3.0,1.0,5.0,0.0,3.0,850000.0,1.0
6.0,3.0,113000.0,2.0,5.0,7.0,0.0,9.0,800000.0,1.0
12.0,8.0,70000.0,2.0,2.0,5.0,7.0,5.0,550000.0,1.0
10.0,19.0,120000.0,2.0,5.0,7.0,0.0,11.0,749000.0,1.0
8.0,19.0,160000.0,2.0,5.0,7.0,0.0,5.0,815000.0,1.0
3.0,7.0,100000.0,1.0,4.0,5.0,0.0,3.0,610000.0,1.0
6.0,19.0,80000.0,2.0,5.0,7.0,0.0,5.0,720000.0,1.0
7.0,2.0,20000.0,1.0,2.0,5.0,0.0,5.0,550000.0,1.0
2.0,8.0,24000.0,2.0,4.0,5.0,0.0,3.0,750000.0,1.0
7.0,2.0,80000.0,2.0,5.0,5.0,0.0,8.0,620000.0,1.0
4.0,4.0,23500.0,1.0,4.0,5.0,0.0,3.0,580000.0,1.0
4.0,14.0,44967.0,1.0,5.0,5.0,0.0,5.0,716646.0,1.0
2.0,7.0,20000.0,1.0,5.0,5.0,0.0,8.0,900000.0,1.0
7.0,25.0,70000.0,2.0,5.0,5.0,0.0,5.0,700000.0,1.0
6.0,2.0,55000.0,1.0,2.0,5.0,7.0,5.0,720000.0,1.0
11.0,18.0,135110.0,2.0,8.0,7.0,0.0,8.0,850000.0,1.0
2.0,8.0,3700.0,1.0,0.0,5.0,2.0,3.0,675000.0,1.0
7.0,13.0,130000.0,2.0,2.0,5.0,0.0,3.0,800000.0,1.0
9.0,19.0,25000.0,2.0,5.0,7.0,0.0,6.0,600000.0,1.0
3.0,2.0,40000.0,1.0,0.0,5.0,0.0,5.0,650000.0,1.0
4.0,12.0,18268.0,1.0,5.0,5.0,0.0,5.0,555888.0,1.0
3.0,2.0,40000.0,1.0,2.0,5.0,0.0,5.0,720000.0,1.0
3.0,19.0,46054.0,2.0,4.0,7.0,0.0,3.0,860000.0,1.0
7.0,19.0,75000.0,2.0,5.0,7.0,0.0,5.0,640000.0,1.0
6.0,19.0,90000.0,2.0,8.0,8.0,0.0,5.0,600000.0,1.0
4.0,7.0,41539.0,2.0,0.0,5.0,0.0,6.0,525000.0,1.0
7.0,4.0,100.0,2.0,5.0,5.0,0.0,6.0,600000.0,1.0
2.0,7.0,10000.0,1.0,0.0,5.0,0.0,5.0,840000.0,1.0
5.0,3.0,26970.0,1.0,0.0,5.0,2.0,3.0,650000.0,1.0
10.0,3.0,100000.0,2.0,5.0,7.0,0.0,6.0,520000.0,1.0
3.0,2.0,40000.0,1.0,0.0,5.0,0.0,8.0,600000.0,1.0
7.0,8.0,30000.0,1.0,0.0,5.0,0.0,8.0,600000.0,1.0
8.0,8.0,41000.0,1.0,0.0,5.0,0.0,5.0,600000.0,1.0
1.0,3.0,11000.0,1.0,0.0,5.0,2.0,3.0,555000.0,1.0
6.0,12.0,74000.0,2.0,5.0,5.0,0.0,5.0,590000.0,1.0
2.0,2.0,70000.0,1.0,8.0,7.0,0.0,5.0,850000.0,1.0
3.0,2.0,29399.0,1.0,2.0,5.0,0.0,5.0,680652.0,1.0
6.0,2.0,86000.0,1.0,0.0,5.0,0.0,5.0,545000.0,1.0
5.0,7.0,50000.0,1.0,5.0,5.0,7.0,5.0,665000.0,1.0
8.0,2.0,100000.0,2.0,5.0,5.0,0.0,5.0,750000.0,1.0
11.0,11.0,135000.0,2.0,5.0,5.0,0.0,9.0,550000.0,1.0
3.0,7.0,18659.0,1.0,5.0,5.0,0.0,5.0,730000.0,1.0
2.0,2.0,29000.0,1.0,0.0,5.0,0.0,5.0,835000.0,1.0
5.0,11.0,81000.0,2.0,2.0,5.0,0.0,5.0,550000.0,1.0
5.0,8.0,30000.0,1.0,0.0,5.0,0.0,8.0,550000.0,1.0
7.0,13.0,47400.0,1.0,0.0,5.0,7.0,3.0,605000.0,1.0
9.0,8.0,166000.0,2.0,5.0,5.0,7.0,3.0,847834.0,1.0
6.0,4.0,70000.0,1.0,5.0,5.0,7.0,11.0,650000.0,1.0
3.0,18.0,45000.0,1.0,0.0,5.0,2.0,3.0,750000.0,1.0
3.0,8.0,50000.0,1.0,0.0,5.0,0.0,3.0,700000.0,1.0
3.0,2.0,30000.0,1.0,0.0,5.0,0.0,8.0,670000.0,1.0
6.0,2.0,63000.0,2.0,5.0,5.0,0.0,8.0,800000.0,1.0
2.0,19.0,11336.0,2.0,4.0,7.0,0.0,3.0,850000.0,1.0
5.0,4.0,40000.0,1.0,5.0,5.0,0.0,5.0,700000.0,1.0
3.0,8.0,99000.0,3.0,2.0,5.0,0.0,5.0,655000.0,1.0
6.0,12.0,104751.0,1.0,5.0,5.0,0.0,8.0,585000.0,1.0
2.0,12.0,11000.0,1.0,5.0,5.0,0.0,5.0,600000.0,1.0
6.0,8.0,68714.0,1.0,5.0,5.0,0.0,3.0,545000.0,1.0
6.0,13.0,66691.0,1.0,2.0,5.0,3.0,6.0,750400.0,1.0
2.0,2.0,70000.0,1.0,2.0,5.0,0.0,5.0,672000.0,1.0
7.0,8.0,61833.0,1.0,2.0,5.0,0.0,6.0,524000.0,1.0
10.0,19.0,120000.0,2.0,5.0,7.0,0.0,8.0,750000.0,1.0
7.0,19.0,51616.0,2.0,5.0,7.0,0.0,6.0,775000.0,1.0
1.0,8.0,17543.0,3.0,5.0,5.0,0.0,5.0,839000.0,1.0
6.0,13.0,56853.0,1.0,1.0,5.0,0.0,3.0,602980.0,1.0
3.0,18.0,40000.0,1.0,0.0,5.0,0.0,5.0,839000.0,1.0
5.0,3.0,22000.0,2.0,0.0,5.0,0.0,3.0,650000.0,1.0
2.0,12.0,27000.0,1.0,5.0,5.0,0.0,5.0,800000.0,1.0
2.0,2.0,20000.0,1.0,0.0,5.0,0.0,5.0,530000.0,1.0
11.0,19.0,144000.0,2.0,5.0,7.0,0.0,6.0,507986.0,1.0
5.0,3.0,45102.0,2.0,5.0,5.0,0.0,3.0,675000.0,1.0
2.0,2.0,10000.0,1.0,2.0,5.0,0.0,5.0,850000.0,1.0
1.0,2.0,7893.0,1.0,0.0,5.0,0.0,5.0,660000.0,1.0
5.0,7.0,50000.0,1.0,0.0,5.0,0.0,8.0,525000.0,1.0
6.0,19.0,66000.0,2.0,5.0,7.0,0.0,5.0,860000.0,1.0
2.0,7.0,30000.0,1.0,5.0,5.0,0.0,5.0,750000.0,1.0
11.0,13.0,50488.0,1.0,2.0,5.0,0.0,5.0,600000.0,1.0
2.0,7.0,25000.0,1.0,0.0,5.0,0.0,3.0,750000.0,1.0
8.0,3.0,95000.0,2.0,5.0,5.0,0.0,3.0,525000.0,1.0
3.0,7.0,50000.0,3.0,0.0,5.0,0.0,5.0,675000.0,1.0
5.0,2.0,50000.0,1.0,2.0,5.0,0.0,5.0,600000.0,1.0
7.0,13.0,81450.0,1.0,0.0,5.0,3.0,6.0,550000.0,1.0
3.0,4.0,30000.0,1.0,8.0,7.0,0.0,5.0,800000.0,1.0
4.0,7.0,90000.0,1.0,5.0,5.0,0.0,5.0,625000.0,1.0
3.0,8.0,50000.0,2.0,4.0,5.0,0.0,3.0,850000.0,1.0
8.0,8.0,120000.0,2.0,0.0,5.0,0.0,5.0,520000.0,1.0
5.0,7.0,117000.0,1.0,0.0,5.0,0.0,5.0,700000.0,1.0
4.0,12.0,53000.0,1.0,5.0,5.0,0.0,5.0,540000.0,1.0
10.0,18.0,140000.0,2.0,2.0,5.0,0.0,6.0,570000.0,1.0
8.0,3.0,77000.0,2.0,1.0,5.0,2.0,6.0,535000.0,1.0
3.0,7.0,20000.0,1.0,5.0,5.0,0.0,5.0,700000.0,1.0
1.0,3.0,5000.0,1.0,0.0,5.0,0.0,3.0,650000.0,1.0
6.0,2.0,70000.0,2.0,5.0,5.0,7.0,5.0,825000.0,1.0
2.0,3.0,22300.0,1.0,0.0,5.0,0.0,3.0,600000.0,1.0
9.0,17.0,69940.0,1.0,0.0,5.0,7.0,3.0,825000.0,1.0
4.0,2.0,80000.0,1.0,0.0,5.0,0.0,5.0,650000.0,1.0
5.0,8.0,38364.0,1.0,0.0,5.0,0.0,6.0,650000.0,1.0
4.0,8.0,113500.0,3.0,0.0,5.0,0.0,5.0,650000.0,1.0
7.0,13.0,62000.0,2.0,2.0,5.0,0.0,5.0,850000.0,1.0
5.0,3.0,41272.0,1.0,0.0,5.0,3.0,3.0,730000.0,1.0
1.0,8.0,20000.0,1.0,0.0,5.0,0.0,5.0,850000.0,1.0
5.0,8.0,50000.0,1.0,0.0,5.0,7.0,5.0,750000.0,1.0
5.0,3.0,12000.0,2.0,1.0,5.0,0.0,3.0,600000.0,1.0
5.0,8.0,25000.0,1.0,0.0,5.0,0.0,5.0,615000.0,1.0
6.0,7.0,117000.0,2.0,5.0,7.0,0.0,5.0,775000.0,1.0
6.0,2.0,80000.0,2.0,5.0,5.0,7.0,5.0,590000.0,1.0
7.0,2.0,78747.0,1.0,0.0,5.0,0.0,5.0,525000.0,1.0
10.0,13.0,160000.0,2.0,2.0,5.0,0.0,11.0,525000.0,1.0
3.0,3.0,70000.0,1.0,9.0,7.0,0.0,3.0,600000.0,1.0
6.0,19.0,49800.0,2.0,5.0,7.0,0.0,3.0,650000.0,1.0
4.0,3.0,42000.0,1.0,7.0,7.0,0.0,3.0,900000.0,1.0
4.0,3.0,13590.0,1.0,0.0,5.0,0.0,3.0,587000.0,1.0
2.0,2.0,10000.0,1.0,5.0,5.0,0.0,5.0,799000.0,1.0
5.0,8.0,40000.0,2.0,5.0,5.0,0.0,5.0,825000.0,1.0
10.0,2.0,109000.0,2.0,8.0,7.0,0.0,11.0,650000.0,1.0
5.0,3.0,18000.0,1.0,0.0,5.0,0.0,3.0,530000.0,1.0
3.0,4.0,21403.0,1.0,5.0,5.0,7.0,5.0,899000.0,1.0
8.0,2.0,79000.0,2.0,5.0,5.0,0.0,5.0,585000.0,1.0
6.0,8.0,40000.0,1.0,0.0,5.0,0.0,5.0,600000.0,1.0
2.0,8.0,43500.0,1.0,1.0,5.0,0.0,3.0,695000.0,1.0
3.0,7.0,28000.0,1.0,4.0,5.0,2.0,3.0,850000.0,1.0
2.0,8.0,49237.0,1.0,0.0,5.0,0.0,3.0,775001.0,1.0
4.0,3.0,35000.0,1.0,0.0,5.0,2.0,3.0,600000.0,1.0
9.0,2.0,96000.0,2.0,2.0,5.0,0.0,5.0,550000.0,1.0
3.0,7.0,125000.0,2.0,4.0,5.0,0.0,3.0,800000.0,1.0
7.0,2.0,81000.0,2.0,0.0,5.0,0.0,13.0,600000.0,1.0
3.0,16.0,38000.0,1.0,5.0,5.0,0.0,3.0,875000.0,1.0
4.0,19.0,150000.0,2.0,5.0,5.0,0.0,5.0,600000.0,1.0
7.0,13.0,120000.0,2.0,0.0,5.0,0.0,5.0,600000.0,1.0
