age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
14.0,3.0,65000.0,1.0,0.0,5.0,0.0,12.0,190000.0,0.0
11.0,3.0,80000.0,1.0,0.0,4.0,0.0,6.0,210000.0,0.0
5.0,11.0,44105.0,1.0,0.0,5.0,0.0,3.0,483000.0,0.0
13.0,8.0,80000.0,1.0,0.0,5.0,0.0,8.0,100000.0,0.0
9.0,11.0,250000.0,2.0,0.0,5.0,0.0,6.0,300000.0,0.0
7.0,13.0,51763.0,1.0,2.0,5.0,0.0,5.0,449000.0,0.0
13.0,3.0,213000.0,2.0,0.0,5.0,0.0,9.0,250000.0,0.0
7.0,4.0,48000.0,1.0,0.0,5.0,0.0,6.0,280000.0,0.0
7.0,3.0,102000.0,1.0,9.0,5.0,0.0,3.0,350000.0,0.0
6.0,3.0,210000.0,2.0,1.0,5.0,0.0,6.0,445000.0,0.0
13.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,120000.0,0.0
12.0,19.0,100000.0,2.0,5.0,7.0,0.0,5.0,300000.0,0.0
9.0,13.0,74161.0,1.0,0.0,5.0,0.0,3.0,325000.0,0.0
6.0,2.0,4000.0,1.0,0.0,5.0,0.0,5.0,295000.0,0.0
19.0,2.0,75000.0,1.0,0.0,5.0,0.0,8.0,60000.0,0.0
12.0,8.0,74000.0,1.0,0.0,5.0,0.0,11.0,225000.0,0.0
11.0,3.0,76437.0,2.0,2.0,5.0,0.0,3.0,290000.0,0.0
10.0,2.0,73000.0,1.0,0.0,5.0,0.0,5.0,350000.0,0.0
10.0,3.0,81000.0,1.0,0.0,5.0,0.0,3.0,370000.0,0.0
9.0,2.0,30000.0,1.0,0.0,5.0,0.0,5.0,200000.0,0.0
16.0,8.0,95000.0,1.0,0.0,5.0,0.0,15.0,150000.0,0.0
11.0,13.0,154812.0,1.0,2.0,5.0,0.0,3.0,380000.0,0.0
10.0,8.0,139000.0,2.0,2.0,5.0,7.0,6.0,360000.0,0.0
10.0,11.0,120000.0,1.0,5.0,5.0,7.0,8.0,400000.0,0.0
11.0,13.0,70000.0,2.0,2.0,5.0,0.0,8.0,500000.0,0.0
11.0,13.0,90000.0,2.0,2.0,5.0,0.0,8.0,400000.0,0.0
15.0,19.0,110224.0,2.0,5.0,7.0,0.0,6.0,304746.0,0.0
10.0,19.0,50000.0,2.0,5.0,7.0,0.0,5.0,475000.0,0.0
9.0,2.0,100000.0,2.0,0.0,5.0,0.0,5.0,500000.0,0.0
