age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
9.0,31.0,93200.0,2.0,5.0,5.0,7.0,6.0,2390000.0,3.0
5.0,34.0,96000.0,1.0,5.0,5.0,4.0,3.0,7675000.0,3.0
6.0,34.0,36000.0,1.0,2.0,5.0,7.0,3.0,3400000.0,3.0
4.0,28.0,8590.0,1.0,2.0,5.0,7.0,3.0,3550000.0,3.0
1.0,34.0,9989.0,2.0,5.0,5.0,4.0,3.0,9000000.0,3.0
6.0,26.0,53100.0,2.0,5.0,7.0,4.0,3.0,6500000.0,3.0
4.0,20.0,26000.0,2.0,5.0,6.0,4.0,3.0,3199000.0,3.0
4.0,18.0,125000.0,2.0,5.0,7.0,0.0,5.0,3150000.0,3.0
1.0,20.0,2588.0,1.0,5.0,7.0,3.0,3.0,1945000.0,3.0
7.0,34.0,56000.0,1.0,2.0,4.0,7.0,3.0,7900000.0,3.0
2.0,32.0,8787.0,9.0,0.0,4.0,7.0,3.0,3700000.0,3.0
3.0,26.0,44000.0,1.0,6.0,5.0,4.0,3.0,4600000.0,3.0
2.0,19.0,35000.0,2.0,5.0,7.0,0.0,3.0,1950000.0,3.0
2.0,31.0,28485.0,2.0,2.0,5.0,4.0,3.0,4600000.0,3.0
4.0,11.0,33011.0,2.0,5.0,7.0,4.0,3.0,3650000.0,3.0
19.0,37.0,63000.0,1.0,2.0,5.0,7.0,3.0,3500000.0,3.0
0.0,18.0,19000.0,2.0,5.0,7.0,4.0,3.0,4300000.0,3.0
1.0,26.0,11489.0,1.0,5.0,7.0,7.0,1.0,10500000.0,3.0
9.0,36.0,65000.0,2.0,5.0,5.0,7.0,6.0,5975000.0,3.0
2.0,31.0,28485.0,2.0,2.0,5.0,4.0,3.0,4600000.0,3.0
2.0,34.0,38199.0,2.0,5.0,5.0,4.0,3.0,7800000.0,3.0
7.0,27.0,33955.0,1.0,5.0,5.0,7.0,3.0,14000000.0,3.0
3.0,19.0,19000.0,2.0,5.0,7.0,7.0,5.0,1950000.0,3.0
3.0,25.0,40000.0,2.0,5.0,5.0,4.0,3.0,2250000.0,3.0
8.0,35.0,96000.0,2.0,5.0,5.0,0.0,3.0,2600000.0,3.0
5.0,17.0,42000.0,2.0,5.0,5.0,7.0,6.0,1900000.0,3.0
1.0,31.0,5000.0,9.0,2.0,5.0,7.0,8.0,9000000.0,3.0
5.0,34.0,38750.0,1.0,2.0,5.0,4.0,3.0,3400000.0,3.0
7.0,34.0,53157.0,2.0,5.0,5.0,7.0,3.0,3175000.0,3.0
2.0,25.0,27000.0,2.0,5.0,7.0,7.0,5.0,2500000.0,3.0
5.0,18.0,61031.0,2.0,5.0,7.0,7.0,3.0,3025000.0,3.0
2.0,31.0,21000.0,1.0,2.0,5.0,4.0,3.0,15300000.0,3.0
3.0,20.0,72000.0,2.0,5.0,6.0,4.0,3.0,3700000.0,3.0
1.0,19.0,5000.0,9.0,17.0,5.0,7.0,3.0,2200008.0,3.0
7.0,27.0,75000.0,2.0,5.0,5.0,7.0,3.0,3700000.0,3.0
3.0,18.0,50000.0,2.0,5.0,7.0,7.0,5.0,3500000.0,3.0
8.0,27.0,43893.0,2.0,5.0,5.0,7.0,3.0,3195000.0,3.0
1.0,31.0,9433.0,2.0,2.0,5.0,4.0,3.0,5450000.0,3.0
8.0,18.0,74340.0,2.0,5.0,7.0,7.0,3.0,2490000.0,3.0
4.0,26.0,57423.0,1.0,5.0,5.0,4.0,3.0,2950000.0,3.0
9.0,12.0,52000.0,1.0,9.0,0.0,0.0,1.0,3500000.0,3.0
2.0,33.0,30000.0,1.0,5.0,5.0,7.0,5.0,3990000.0,3.0
3.0,34.0,79890.0,1.0,2.0,5.0,7.0,3.0,5800000.0,3.0
6.0,35.0,77359.0,2.0,5.0,5.0,7.0,3.0,2300000.0,3.0
2.0,18.0,100000.0,2.0,6.0,7.0,4.0,3.0,3500000.0,3.0
3.0,36.0,42507.0,1.0,5.0,5.0,4.0,6.0,12000000.0,3.0
8.0,34.0,44568.0,1.0,5.0,5.0,7.0,3.0,6000000.0,3.0
1.0,34.0,10000.0,1.0,5.0,5.0,7.0,5.0,42100000.0,3.0
6.0,34.0,60000.0,2.0,2.0,5.0,7.0,5.0,3300000.0,3.0
2.0,31.0,28485.0,2.0,2.0,5.0,4.0,3.0,4600000.0,3.0
3.0,31.0,42000.0,2.0,2.0,5.0,7.0,3.0,5600000.0,3.0
1.0,35.0,10000.0,1.0,5.0,7.0,4.0,3.0,8900000.0,3.0
1.0,8.0,10000.0,2.0,5.0,5.0,0.0,5.0,1850000.0,3.0
0.0,2.0,30000.0,1.0,5.0,5.0,7.0,5.0,2050000.0,3.0
3.0,25.0,32518.0,2.0,5.0,5.0,4.0,3.0,2275000.0,3.0
8.0,35.0,52000.0,2.0,2.0,5.0,7.0,3.0,2250000.0,3.0
1.0,20.0,8400.0,1.0,5.0,7.0,3.0,3.0,2100000.0,3.0
2.0,32.0,8787.0,9.0,0.0,4.0,7.0,3.0,3700000.0,3.0
7.0,27.0,78000.0,2.0,5.0,5.0,7.0,5.0,3400000.0,3.0
3.0,19.0,32469.0,2.0,5.0,7.0,4.0,3.0,2399999.0,3.0
