age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
6.0,25.0,48970.0,4.0,7.0,5.0,0.0,1.0,1375000.0,2.0
3.0,22.0,53000.0,3.0,7.0,7.0,0.0,1.0,1790000.0,2.0
1.0,8.0,15000.0,3.0,5.0,7.0,0.0,1.0,972452.0,2.0
2.0,9.0,58000.0,4.0,7.0,4.0,0.0,2.0,1325000.0,2.0
4.0,7.0,33490.0,4.0,7.0,7.0,0.0,1.0,1780000.0,2.0
3.0,15.0,74000.0,4.0,5.0,7.0,0.0,1.0,1245000.0,2.0
6.0,9.0,59000.0,4.0,7.0,7.0,0.0,1.0,1200000.0,2.0
4.0,15.0,28500.0,3.0,7.0,5.0,0.0,1.0,1150000.0,2.0
9.0,30.0,60000.0,4.0,7.0,5.0,7.0,1.0,1600000.0,2.0
1.0,7.0,30000.0,4.0,3.0,5.0,0.0,1.0,1150000.0,2.0
3.0,9.0,52285.0,4.0,7.0,4.0,0.0,1.0,1250000.0,2.0
9.0,31.0,80492.0,4.0,7.0,5.0,7.0,2.0,1650000.0,2.0
5.0,15.0,35000.0,3.0,3.0,5.0,6.0,1.0,1000000.0,2.0
1.0,9.0,34500.0,4.0,3.0,7.0,0.0,1.0,975000.0,2.0
4.0,8.0,80000.0,3.0,5.0,6.0,0.0,1.0,1000000.0,2.0
0.0,18.0,700.0,3.0,4.0,5.0,0.0,1.0,1160000.0,2.0
4.0,10.0,34375.0,3.0,7.0,5.0,3.0,1.0,1535000.0,2.0
7.0,10.0,66808.0,4.0,7.0,5.0,7.0,1.0,975000.0,2.0
1.0,8.0,17800.0,3.0,5.0,6.0,0.0,1.0,1230000.0,2.0
0.0,8.0,9999.0,3.0,5.0,7.0,0.0,1.0,1000000.0,2.0
2.0,18.0,40008.0,3.0,7.0,5.0,4.0,1.0,1575000.0,2.0
5.0,10.0,111000.0,4.0,7.0,5.0,0.0,1.0,1195000.0,2.0
3.0,16.0,46608.0,3.0,7.0,6.0,6.0,1.0,1499000.0,2.0
4.0,10.0,67610.0,4.0,7.0,5.0,0.0,1.0,985000.0,2.0
3.0,9.0,65000.0,3.0,7.0,5.0,0.0,1.0,1500000.0,2.0
2.0,10.0,15700.0,4.0,7.0,5.0,0.0,1.0,1745925.0,2.0
7.0,9.0,135555.0,4.0,7.0,7.0,0.0,1.0,950000.0,2.0
1.0,16.0,2600.0,3.0,7.0,5.0,3.0,1.0,1700000.0,2.0
4.0,9.0,34000.0,4.0,7.0,7.0,0.0,1.0,1290000.0,2.0
8.0,14.0,120000.0,4.0,7.0,7.0,7.0,1.0,1600000.0,2.0
9.0,22.0,90020.0,4.0,7.0,8.0,0.0,2.0,1300000.0,2.0
3.0,16.0,12351.0,3.0,7.0,5.0,0.0,1.0,1200000.0,2.0
3.0,7.0,63000.0,4.0,7.0,5.0,4.0,1.0,1500000.0,2.0
2.0,10.0,50000.0,3.0,7.0,5.0,0.0,1.0,1200000.0,2.0
1.0,9.0,30000.0,3.0,7.0,4.0,4.0,1.0,1390000.0,2.0
4.0,10.0,65000.0,4.0,4.0,5.0,0.0,1.0,1050000.0,2.0
4.0,8.0,18111.0,3.0,5.0,6.0,4.0,1.0,950000.0,2.0
4.0,15.0,40000.0,3.0,7.0,5.0,0.0,1.0,1300000.0,2.0
6.0,9.0,79654.0,4.0,7.0,7.0,0.0,1.0,1145000.0,2.0
5.0,10.0,95000.0,4.0,4.0,5.0,0.0,1.0,1000000.0,2.0
7.0,22.0,60000.0,4.0,7.0,7.0,0.0,2.0,1600000.0,2.0
6.0,32.0,71137.0,4.0,4.0,5.0,7.0,1.0,1750000.0,2.0
9.0,22.0,122000.0,3.0,4.0,5.0,3.0,1.0,1355000.0,2.0
3.0,7.0,41800.0,3.0,3.0,5.0,0.0,1.0,1100000.0,2.0
2.0,15.0,8000.0,4.0,7.0,5.0,1.0,1.0,1600000.0,2.0
3.0,8.0,18000.0,2.0,5.0,7.0,0.0,1.0,1150000.0,2.0
3.0,11.0,5000.0,3.0,7.0,5.0,0.0,1.0,1000000.0,2.0
3.0,8.0,40783.0,3.0,3.0,5.0,0.0,1.0,1157807.0,2.0
3.0,9.0,140000.0,4.0,3.0,7.0,0.0,1.0,964674.0,2.0
3.0,17.0,14447.0,3.0,4.0,5.0,4.0,1.0,1350000.0,2.0
2.0,8.0,40000.0,3.0,5.0,7.0,0.0,1.0,1000000.0,2.0
3.0,16.0,26400.0,3.0,7.0,5.0,4.0,1.0,1250000.0,2.0
6.0,12.0,9438.0,4.0,4.0,5.0,0.0,1.0,1395000.0,2.0
0.0,10.0,2800.0,5.0,7.0,5.0,7.0,1.0,1800000.0,2.0
11.0,32.0,70000.0,4.0,7.0,5.0,7.0,3.0,1200000.0,2.0
7.0,10.0,32000.0,3.0,4.0,5.0,0.0,1.0,1000000.0,2.0
1.0,8.0,54000.0,3.0,5.0,7.0,0.0,1.0,1095000.0,2.0
9.0,22.0,95000.0,4.0,7.0,8.0,0.0,1.0,1630000.0,2.0
